spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
keys-duane-wreck,USCGC Duane Wreck,24.9867,-80.3822,41.48,38.94,-38.94,76.35,2.53,6.3
maui-hana-bay,Hana Bay,20.759518,-155.984,2.34,2.1,-2.1,76.35,0.24,10.7
keys-coffins-patch,Coffins Patch,24.6833,-81.05,9.26,8.49,-8.49,76.35,0.76,8.6
keys-american-shoal,American Shoal,24.5161,-81.5231,30.93,30.0,-30.0,76.35,0.92,3.0
keys-bahia-honda-bridge,Bahia Honda Bridge,24.6553,-81.2842,5.42,0.19,-0.19,76.35,5.23,186.3
keys-newfound-harbor,Newfound Harbor Keys,24.61,-81.39,7.97,7.31,-7.31,76.35,0.66,8.7
keys-marquesas,Marquesas Keys,24.55,-82.1,4.03,2.0,-2.0,76.35,2.03,67.3
keys-dry-tortugas-north,Dry Tortugas - North,24.6433,-82.8781,11.0,5.38,-5.38,76.35,5.62,68.5
keys-dry-tortugas-east,Dry Tortugas - East,24.6283,-82.8531,7.0,4.54,-4.54,76.35,2.46,42.6
keys-alligator-reef,Alligator Reef,24.8481,-80.6186,5.85,8.64,-8.64,76.35,-2.79,-38.5
keys-conch-reef,Conch Reef,24.9533,-80.4564,12.74,13.78,-13.78,152.7,-1.04,-7.8
keys-french-reef,French Reef,25.0344,-80.3508,3.5,4.18,-4.18,76.35,-0.68,-17.8
egypt-brothers,Brothers Islands,26.3167,34.85,696.0,0,0,610.81,696.0,200.0
keys-dry-tortugas-west,Dry Tortugas - West,24.6283,-82.8931,5.0,5.18,-5.18,76.35,-0.18,-3.5
keys-molasses-reef,Molasses Reef,25.0092,-80.3739,7.42,19.34,-19.34,76.35,-11.92,-89.1
keys-vandenberg-wreck,USNS Vandenberg,24.4569,-81.8019,35.0,37.25,-37.25,610.81,-2.25,-6.2
maui-hookipa,Hookipa Beach,20.9358,-156.36,4.69,1.86,-1.86,76.35,2.83,86.4
keys-sombrero-reef,Sombrero Reef,24.6261,-81.1108,4.16,10.23,-10.23,76.35,-6.07,-84.3
keys-looe-key,Looe Key,24.5456,-81.4075,5.4,6.35,-6.35,76.35,-0.95,-16.2
keys-thunderbolt-wreck,Thunderbolt Wreck,24.6564,-81.0333,7.13,6.12,-6.12,76.35,1.01,15.2
rum-dynamite-wall,Dynamite Wall,23.645095,-74.85,5.0,0,0,610.81,5.0,200.0
rum-hms-conqueror,HMS Conqueror Wreck,23.625,-74.825,1.0,1.97,-1.97,610.81,-0.97,-65.4
crooked-french-wells,French Wells,22.677109,-74.2,0.21,0,0,610.81,0.21,200.0
cat-white-hole-reef,White Hole Reef,24.2333,-75.4333,309.0,260.83,-260.83,610.81,48.17,16.9
cat-hawks-nest-reef,Hawk's Nest Reef,24.0833,-75.5167,3.0,7.81,-7.81,610.81,-4.81,-89.0
long-cape-santa-maria,Cape Santa Maria Reef,23.6833,-75.2833,3.0,6.42,-6.42,610.81,-3.42,-72.7
long-salt-pond,Salt Pond Reef,23.3,-75.05,459.0,328.77,-328.77,610.81,130.23,33.1
rum-pinder-reef,Pinder Reef,23.7,-74.8833,241.0,0,0,610.81,241.0,200.0
